lastname,firstname,Ccode,Word Count,year,quarter,distrust,task,bace,igb,sc,cc,power,name
Faure,Edgard,220,4389,1955,3,0.181818182,0.641860465,0.464285714,0.089552239,0.457142857,0.668831169,0.291139241,Edgard Faure
Gaddafi,Muammar,620,4062,1979,4,0.161764706,0.526315789,0.392592593,0.083333333,0.32038835,0.582329317,0.315384615,Muammar Gaddafi
Gaddafi,Muammar,620,12309,2009,3,0.15916955,0.535809019,0.395833333,0.097014925,0.323809524,0.645112782,0.243076923,Muammar Gaddafi
Gandhi,Indira ,750,9743,1982,1,0.129251701,0.712158809,0.318584071,0.128205128,0.305882353,0.555353902,0.276785714,Indira  Gandhi
Gandhi,Indira ,750,7885,1982,3,0.236220472,0.564393939,0.4296875,0.16744186,0.285714286,0.661073826,0.305019305,Indira  Gandhi
Gandhi,Indira ,750,6281,1983,1,0.255555556,0.630769231,0.349315068,0.098591549,0.294871795,0.630170316,0.287671233,Indira  Gandhi
Gandhi,Indira ,750,6688,1983,3,0.224719101,0.6,0.357142857,0.156549521,0.295774648,0.6,0.27173913,Indira  Gandhi
Gandhi,Indira ,750,7097,1984,1,0.173076923,0.693877551,0.34529148,0.159259259,0.492063492,0.607421875,0.269767442,Indira  Gandhi
Gandhi,Rajiv,750,6803,1985,1,0.06185567,0.638461538,0.380952381,0.160142349,0.290909091,0.540609137,0.269076305,Rajiv Gandhi
Gandhi,Rajiv,750,24835,1985,2,0.154269972,0.661508704,0.347165992,0.139794168,0.485714286,0.555240793,0.315897436,Rajiv Gandhi
Gandhi,Rajiv,750,7198,1986,1,0.165289256,0.703846154,0.328703704,0.091240876,0.463414634,0.603305785,0.291079812,Rajiv Gandhi
Gandhi,Rajiv,750,7985,1986,2,0.189944134,0.668852459,0.386363636,0.152597403,0.318181818,0.510091743,0.309090909,Rajiv Gandhi
Gorbachev,Mikhail,365,4911,1985,4,0.197080292,0.739336493,0.483870968,0.069444444,0.555555556,0.570921986,0.314606742,Mikhail Gorbachev
Gorbachev,Mikhail,365,5755,1986,2,0.183908046,0.673151751,0.396226415,0.133891213,0.4,0.590361446,0.288461538,Mikhail Gorbachev
Gorbachev,Mikhail,365,9659,1990,2,0.110294118,0.704485488,0.435779817,0.115207373,0.348314607,0.583333333,0.23364486,Mikhail Gorbachev
Guevara,Che,160,4069,1960,3,0.303571429,0.630769231,0.396694215,0.079207921,0.392156863,0.564784053,0.260504202,Che Guevara
Guevara,Che,160,4865,1960,4,0.110294118,0.727941176,0.370629371,0.070512821,0.269230769,0.688073394,0.251798561,Che Guevara
Guevara,Che,160,5547,1961,2,0.386666667,0.612745098,0.235294118,0.156862745,,0.6,0.205882353,Che Guevara
Guevara,Che,160,14678,1961,3,0.132467532,0.653508772,0.404166667,0.107142857,0.25862069,0.624277457,0.255144033,Che Guevara
Guevara,Che,160,4913,1962,4,0.143939394,0.538860104,0.31292517,0.058333333,0.428571429,0.703470032,0.222222222,Che Guevara
Guevara,Che,160,8955,1964,1,0.24,0.659340659,0.397590361,0.0625,0,0.582375479,0.166666667,Che Guevara
Guevara,Che,160,6686,1964,4,0.337962963,0.520361991,0.233009709,0.181208054,0,0.467032967,0.372727273,Che Guevara
Guevara,Che,160,4168,1965,1,0.304054054,0.636871508,0.372881356,0.114583333,0,0.564189189,0.306451613,Che Guevara
Gustav,Husak,315,16780,1971,2,0.187165775,0.797738693,0.342696629,0.144736842,0,0.489544895,0.318681319,Husak Gustav
Gustav,Husak,315,4536,1981,2,0.059602649,0.67,0.416666667,0.113207547,0,0.445714286,0.428571429,Husak Gustav
Gustav,Husak,315,4899,1982,2,0.06557377,0.838297872,0.348484848,0.137096774,0.428571429,0.495176849,0.426470588,Husak Gustav
Gustav,Husak,315,20552,1986,2,0.118421053,0.807692308,0.290196078,0.14416476,0.333333333,0.48440367,0.339694656,Husak Gustav
Honeker ,Erich,265,6134,1983,1,0.129186603,0.598101266,0.357894737,0.212328767,0.166666667,0.531034483,0.382352941,Erich Honeker 
Honeker ,Erich,265,4295,1985,4,0.118110236,0.618025751,0.333333333,0.171428571,0,0.565737052,0.327868852,Erich Honeker 
Hussein,Saddam,645,8853,1980,3,0.136882129,0.574712644,0.407051282,0.108761329,0.290909091,0.638418079,0.296052632,Saddam Hussein
Hussein,Saddam,645,4976,1981,4,0.185897436,0.67357513,0.266666667,0.091954023,0.689655172,0.625766871,0.241758242,Saddam Hussein
Hussein,Saddam,645,6010,1982,1,0.244274809,0.774038462,0.443113772,0.091836735,0.329411765,0.683783784,0.24691358,Saddam Hussein
Hussein,Saddam,645,4574,1985,1,0.375,0.581081081,0.322751323,0.125,0.184466019,0.654545455,0.167567568,Saddam Hussein
Hussein,Saddam,645,4307,1986,3,0.3125,0.687022901,0.298507463,0.12605042,0.125,0.757785467,0.318181818,Saddam Hussein
Hussein,Saddam,645,4729,1987,1,0.350877193,0.588235294,0.359605911,0.11299435,0.225,0.627388535,0.233830846,Saddam Hussein
Hussein,Saddam,645,13018,1988,2,0.426190476,0.724637681,0.428571429,0.078384798,0.381818182,0.6710013,0.350305499,Saddam Hussein
Hussein,Saddam,645,7503,1991,1,0.255102041,0.570247934,0.377777778,0.052380952,0.28440367,0.657079646,0.291187739,Saddam Hussein
Hussein,Saddam,645,4075,1996,1,0.189189189,0.682242991,0.290322581,0.068965517,0.203703704,0.593059937,0.139784946,Saddam Hussein
Hussein,Saddam,645,5370,2003,1,0.417910448,0.427631579,0.139534884,0.21875,0.5,0.467213115,0.260869565,Saddam Hussein
Izetbegovic,Aliija,346,4074,1991,3,0.137931034,0.6796875,0.24137931,0.027027027,0.457142857,0.617088608,0.168674699,Aliija Izetbegovic
Izetbegovic,Aliija,346,4837,1993,1,0.198198198,0.575221239,0.369230769,0.098765432,0.24137931,0.693693694,0.277777778,Aliija Izetbegovic
Jaruzelski,Wojciech,290,4321,1982,1,0.190082645,0.626086957,0.212121212,0.136363636,0.25,0.482213439,0.203125,Wojciech Jaruzelski
Jaruzelski,Wojciech,290,4927,1982,4,0.15,0.674796748,0.293103448,0.253521127,0.444444444,0.554054054,0.375,Wojciech Jaruzelski
Jayewardene ,Junius ,780,8281,1978,1,0.259887006,0.651785714,0.346938776,0.150485437,0.27027027,0.567430025,0.333333333,Junius  Jayewardene 
Jayewardene ,Junius ,780,7738,1978,2,0.162162162,0.682926829,0.276315789,0.145,0.268817204,0.586206897,0.256880734,Junius  Jayewardene 
Jayewardene ,Junius ,780,4294,1978,3,0.04109589,0.534653465,0.375,0.17,0.330275229,0.657276995,0.282208589,Junius  Jayewardene 
