lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeW,2,5821,2009,1,0.5,0.287878788,0.152066116,0.5,0.590909091,0.454545455,0.068181818,0.227272727,0.159090909,0.022727273,0.068181818,0.420454545,0.138257576,0.193052686,0.2,0.961389463,GeorgeW Bush
Carter,Jimmy,2,4741,1976,3,0.608695652,0.217391304,0.243478261,0.391304348,0.434782609,0.565217391,0.152173913,0.086956522,0.043478261,0.02173913,0.130434783,0.557522124,0.342182891,0.12488057,0.289308176,0.96387103,Jimmy Carter
Carter,Jimmy,2,144384,1977,1,0.564687976,0.250887874,0.237096808,0.435312024,0.485540335,0.562404871,0.057077626,0.162861492,0.102739726,0.03500761,0.079908676,0.461238938,0.223244838,0.147996053,0.317467987,0.953015991,Jimmy Carter
Carter,Jimmy,2,189075,1977,2,0.487728131,0.20369205,0.222945035,0.512271869,0.516047829,0.546884833,0.040276904,0.156702329,0.127123977,0.027690371,0.101321586,0.409528637,0.196823788,0.121959787,0.287082204,0.964987516,Jimmy Carter
Carter,Jimmy,2,114934,1977,3,0.48630137,0.181887367,0.222052292,0.51369863,0.552511416,0.547945205,0.046803653,0.148401826,0.100456621,0.028538813,0.127853881,0.475927388,0.230334123,0.151996806,0.256891496,0.960953313,Jimmy Carter
Carter,Jimmy,2,137632,1977,4,0.616087751,0.288848263,0.255517047,0.383912249,0.493601463,0.574040219,0.056672761,0.177330896,0.100548446,0.021937843,0.069469835,0.435845896,0.214628699,0.148618671,0.268202991,0.960140028,Jimmy Carter
Carter,Jimmy,2,179084,1978,1,0.613219094,0.285393717,0.244417211,0.386780906,0.501835985,0.565483476,0.066707466,0.174418605,0.097307222,0.019583843,0.076499388,0.508624938,0.265812387,0.140339935,0.287069571,0.959712675,Jimmy Carter
Carter,Jimmy,2,179519,1978,2,0.534246575,0.241139378,0.226296876,0.465753425,0.572733203,0.544031311,0.037181996,0.18590998,0.113502935,0.018917156,0.100456621,0.452392947,0.227539882,0.142321416,0.278575323,0.960352766,Jimmy Carter
Carter,Jimmy,2,119401,1978,3,0.465051258,0.173656415,0.190707782,0.534948742,0.574091333,0.518173346,0.068033551,0.146318733,0.103448276,0.023299161,0.140726934,0.440295445,0.215565586,0.142178786,0.305698006,0.956536229,Jimmy Carter
Carter,Jimmy,2,175641,1978,4,0.526855763,0.21907061,0.218941387,0.473144237,0.554013277,0.544960772,0.050694025,0.167773084,0.089921545,0.037417019,0.109233555,0.425341746,0.199439187,0.133719943,0.303424281,0.959426122,Jimmy Carter
Carter,Jimmy,2,142163,1979,1,0.564687976,0.264332826,0.202939889,0.435312024,0.549467275,0.52739726,0.071537291,0.183409437,0.098934551,0.02739726,0.091324201,0.488238669,0.265538344,0.125547284,0.27375,0.965631431,Jimmy Carter
Carter,Jimmy,2,144403,1979,2,0.510815308,0.229339989,0.197125146,0.489184692,0.577371048,0.519966722,0.054076539,0.181364393,0.112312812,0.024958403,0.107321131,0.399810666,0.188703061,0.122996216,0.27499428,0.966176744,Jimmy Carter
Carter,Jimmy,2,125708,1979,3,0.481481481,0.203861982,0.186632143,0.518518519,0.562203229,0.51377018,0.061728395,0.165242165,0.113010446,0.030389364,0.115859449,0.465311843,0.236276571,0.129466113,0.269516253,0.965106778,Jimmy Carter
Carter,Jimmy,2,106597,1979,4,0.536199095,0.2326546,0.226781802,0.463800905,0.567873303,0.547511312,0.044117647,0.176470588,0.104072398,0.020361991,0.107466063,0.436619718,0.226318696,0.129117431,0.268041237,0.965391204,Jimmy Carter
Carter,Jimmy,2,155530,1980,1,0.526315789,0.248221906,0.175021094,0.473684211,0.574679943,0.499288762,0.078236131,0.185633001,0.107396871,0.027738265,0.10170697,0.4745158,0.270557255,0.12085683,0.263789869,0.968119193,Jimmy Carter
Carter,Jimmy,2,194778,1980,2,0.501565435,0.20329785,0.232361241,0.498434565,0.507201002,0.556668754,0.046336882,0.147777082,0.121477771,0.021916093,0.105823419,0.412189834,0.207419899,0.121639441,0.277835769,0.966204212,Jimmy Carter
Carter,Jimmy,2,273861,1980,3,0.495424837,0.229774873,0.178004129,0.504575163,0.604793028,0.498474946,0.05795207,0.191285403,0.116775599,0.024400871,0.111111111,0.405131786,0.203118636,0.118889216,0.286016949,0.965995669,Jimmy Carter
Carter,Jimmy,2,370701,1980,4,0.471902505,0.22229745,0.169889376,0.528097495,0.61069736,0.488151659,0.053486798,0.194312796,0.127962085,0.025050779,0.111035884,0.408436474,0.206870422,0.129305796,0.271707138,0.964866692,Jimmy Carter
Carter,Jimmy,2,45542,1981,1,0.560371517,0.293085655,0.182317476,0.439628483,0.749226006,0.476780186,0.046439628,0.256965944,0.095975232,0.00619195,0.117647059,0.482303956,0.305806153,0.123182346,0.183106576,0.977444502,Jimmy Carter
Cleveland,Grover,2,20192,1885,4,0.6,0.163636364,0.433520661,0.4,0.4,0.709090909,0.018181818,0.072727273,0.054545455,0.018181818,0.127272727,0.405255878,0.189488243,0.140372927,0.070694087,0.990076464,Grover Cleveland
Cleveland,Grover,2,15645,1886,4,0.666666667,0.305555556,0.331333333,0.333333333,0.433333333,0.633333333,0.033333333,0.166666667,0.1,0.016666667,0.05,0.440860215,0.207287933,0.156580722,0.097087379,0.984797988,Grover Cleveland
Cleveland,Grover,2,5437,1887,4,0.428571429,0.095238095,0.265306122,0.571428571,0.571428571,0.571428571,0,0.142857143,0,0.142857143,0.142857143,0.371727749,0.20069808,0.10370878,0.035353535,0.996333528,Grover Cleveland
Cleveland,Grover,2,13664,1888,4,0.862068966,0.425287356,0.375029727,0.137931034,0.482758621,0.655172414,0.068965517,0.206896552,0.034482759,0,0.034482759,0.29707113,0.114365411,0.112158401,0.057199211,0.993584628,Grover Cleveland
Cleveland,Grover,2,13155,1893,4,0.666666667,0.240740741,0.42037037,0.333333333,0.5,0.694444444,0,0.138888889,0.055555556,0,0.111111111,0.355855856,0.13963964,0.129961042,0.075,0.990252922,Grover Cleveland
Cleveland,Grover,2,16956,1894,4,0.771428571,0.295238095,0.496489796,0.228571429,0.457142857,0.742857143,0,0.142857143,0.028571429,0,0.085714286,0.319778189,0.153419593,0.116919786,0.060763889,0.992895499,Grover Cleveland
Cleveland,Grover,2,15128,1895,4,0.548387097,0.322580645,0.208324662,0.451612903,0.709677419,0.483870968,0,0.290322581,0.129032258,0.032258065,0.064516129,0.362934363,0.196911197,0.109852268,0.056466302,0.993797049,Grover Cleveland
Cleveland,Grover,2,16379,1896,4,0.657142857,0.266666667,0.30644898,0.342857143,0.685714286,0.6,0.028571429,0.2,0.028571429,0,0.142857143,0.325925926,0.154320988,0.109761317,0.060869565,0.993318876,Grover Cleveland
Clinton,William,2,116952,1993,1,0.54017094,0.22022792,0.24590664,0.45982906,0.437606838,0.572649573,0.07008547,0.127350427,0.117094017,0.021367521,0.091452991,0.489104928,0.227958431,0.15705044,0.281724055,0.955755113,William Clinton
Clinton,William,2,163571,1993,2,0.48759222,0.15940085,0.256185807,0.51240778,0.482897384,0.580818243,0.050972502,0.112005366,0.101274313,0.025486251,0.129443327,0.413400056,0.159392086,0.149435205,0.293042453,0.956209141,William Clinton
Clinton,William,2,228746,1993,3,0.549250535,0.20681656,0.263282651,0.450749465,0.46359743,0.587794433,0.063704497,0.123126338,0.095289079,0.021413276,0.108672377,0.485681338,0.232814402,0.131653618,0.264177627,0.96522006,William Clinton
Clinton,William,2,155877,1993,4,0.59177888,0.24734231,0.278931108,0.40822112,0.464918498,0.598157335,0.051736357,0.145995748,0.097094259,0.020552799,0.086463501,0.498665243,0.228866346,0.174327569,0.273608687,0.952302463,William Clinton
Clinton,William,2,177287,1994,1,0.646923519,0.276595745,0.30687456,0.353076481,0.468085106,0.618746406,0.051178838,0.153536515,0.081656124,0.014376078,0.080506038,0.546615273,0.264594877,0.183490263,0.29524618,0.945825201,William Clinton
Clinton,William,2,152545,1994,2,0.520700637,0.217091295,0.244457686,0.479299363,0.47133758,0.568471338,0.046178344,0.145700637,0.122611465,0.027070064,0.089968153,0.458560367,0.188509703,0.162928388,0.264811301,0.956854722,William Clinton
Clinton,William,2,103814,1994,3,0.605823068,0.223217619,0.340431802,0.394176932,0.396416573,0.64837626,0.045912654,0.10862262,0.087346025,0.020156775,0.089585666,0.527654421,0.227560221,0.203862487,0.264985163,0.945979466,William Clinton
Clinton,William,2,175324,1994,4,0.585820896,0.250829187,0.26211944,0.414179104,0.492537313,0.583333333,0.050995025,0.15858209,0.093283582,0.026119403,0.087686567,0.472871843,0.218038665,0.165955786,0.273283481,0.954647025,William Clinton
Clinton,William,2,134781,1995,1,0.481118881,0.161305361,0.255355665,0.518881119,0.552447552,0.574125874,0.031468531,0.134965035,0.102097902,0.016083916,0.141258741,0.475,0.238048246,0.155213296,0.319910515,0.950345634,William Clinton
Clinton,William,2,173761,1995,2,0.5,0.198761261,0.240023892,0.5,0.453828829,0.566441441,0.051801802,0.131756757,0.126126126,0.028716216,0.095157658,0.37258387,0.152780864,0.135479859,0.282937709,0.961667639,William Clinton
Clinton,William,2,8442,1995,3,0.553191489,0.184397163,0.318786781,0.446808511,0.489361702,0.627659574,0.031914894,0.117021277,0.085106383,0.010638298,0.127659574,0.530973451,0.277286136,0.16289451,0.29375,0.952149738,William Clinton
Clinton,William,2,23353,1995,4,0.521235521,0.20978121,0.206416124,0.478764479,0.424710425,0.540540541,0.104247104,0.115830116,0.108108108,0.034749035,0.096525097,0.469845722,0.187470781,0.16564228,0.266460905,0.955862808,William Clinton
Clinton,William,2,161171,1996,1,0.579204893,0.224464832,0.301374183,0.420795107,0.467278287,0.615902141,0.037920489,0.135779817,0.092966361,0.019571865,0.097859327,0.473468341,0.200034179,0.175719015,0.295339595,0.948103217,William Clinton
Clinton,William,2,186443,1996,2,0.605691057,0.231707317,0.335585837,0.394308943,0.468495935,0.640243902,0.026422764,0.136178862,0.085873984,0.013211382,0.098069106,0.495934959,0.229101522,0.181317487,0.290909091,0.947253095,William Clinton
Clinton,William,2,170931,1996,3,0.556498674,0.22351901,0.271828832,0.443501326,0.489124668,0.590981432,0.042970822,0.144297082,0.104509284,0.016976127,0.100265252,0.47404674,0.207134071,0.167247795,0.316806723,0.947014774,William Clinton
Clinton,William,2,144356,1996,4,0.571223022,0.242925659,0.270375653,0.428776978,0.530935252,0.584892086,0.035251799,0.165467626,0.105755396,0.008633094,0.1,0.460095211,0.214039018,0.153221104,0.280185446,0.957069677,William Clinton
Clinton,William,2,154525,1997,1,0.580707395,0.255734191,0.24148278,0.419292605,0.477170418,0.566559486,0.070096463,0.153697749,0.103536977,0.021221865,0.08488746,0.51961824,0.272622835,0.159374427,0.291909142,0.953477148,William Clinton
