lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Harris,Benjamin,2,11863,1890,0.743589744,0.384615385,0.300986193,0.256410256,0.923076923,0.538461538,0,0.333333333,0,0,0.128205128,0.531914894,0.315096251,0.156548812,0.105978261,0.983409229,Benjamin Harris
Harris,Benjamin,2,16848,1891,0.647058824,0.303921569,0.316955017,0.352941176,0.470588235,0.617647059,0.029411765,0.176470588,0.117647059,0,0.058823529,0.370517928,0.199203187,0.110795067,0.063432836,0.992971955,Benjamin Harris
Harris,Benjamin,2,14575,1892,0.5,0.263888889,0.166666667,0.5,0.75,0.458333333,0.041666667,0.25,0.125,0,0.125,0.369230769,0.207692308,0.122398422,0.109589041,0.986586474,Benjamin Harris
Harrison,William,2,8469,1841,0.555555556,0.351851852,0.17037037,0.444444444,0.666666667,0.444444444,0.055555556,0.277777778,0.166666667,0,0.055555556,0.305785124,0.125344353,0.123748378,0.069230769,0.991432805,William Harrison
Hayes,Rutherford,2,13430,1877,0.75862069,0.33908046,0.401426873,0.24137931,0.551724138,0.672413793,0,0.206896552,0.034482759,0.017241379,0.068965517,0.555023923,0.318979266,0.162615325,0.121848739,0.980185528,Rutherford Hayes
Hayes,Rutherford,2,8253,1878,0.636363636,0.212121212,0.365289256,0.363636364,0.727272727,0.636363636,0,0.181818182,0,0,0.181818182,0.474074074,0.245679012,0.144098765,0.039145907,0.994359123,Rutherford Hayes
Hayes,Rutherford,2,12035,1879,0.9375,0.4375,0.53359375,0.0625,0.5,0.75,0,0.21875,0,0,0.03125,0.418546366,0.214703425,0.133005446,0.07424594,0.990124886,Rutherford Hayes
Hayes,Rutherford,2,13390,1880,0.787234043,0.34751773,0.431779086,0.212765957,0.425531915,0.70212766,0.021276596,0.170212766,0.042553191,0.021276596,0.042553191,0.517401392,0.223511214,0.189655525,0.09832636,0.981351863,Rutherford Hayes
Hoover,Herbert,2,69795,1929,0.6875,0.325231481,0.258998843,0.3125,0.625,0.565972222,0.0625,0.215277778,0.048611111,0.010416667,0.097222222,0.490909091,0.255515152,0.146802777,0.173180998,0.974576549,Herbert Hoover
Hoover,Herbert,2,64674,1930,0.724832215,0.360178971,0.25946579,0.275167785,0.610738255,0.563758389,0.073825503,0.224832215,0.05033557,0.006711409,0.080536913,0.441176471,0.243034056,0.136018748,0.187421384,0.974507178,Herbert Hoover
Hoover,Herbert,2,63763,1931,0.747126437,0.426564496,0.236922535,0.252873563,0.743295019,0.509578544,0.057471264,0.30651341,0.053639847,0.007662835,0.0651341,0.459110473,0.284552846,0.130321176,0.157703927,0.979447839,Herbert Hoover
Hoover,Herbert,2,127839,1932,0.494186047,0.259689922,0.162856612,0.505813953,0.75872093,0.45494186,0.037790698,0.254360465,0.11627907,0.011627907,0.125,0.286561955,0.167306574,0.09416372,0.193639178,0.981766215,Herbert Hoover
Hoover,Herbert,2,8103,1933,0.428571429,0.126984127,0.189115646,0.571428571,0.857142857,0.476190476,0.047619048,0.19047619,0.047619048,0,0.238095238,0.292307692,0.143589744,0.103810651,0.097222222,0.989907298,Herbert Hoover
Jackson,Andrew,2,11743,1829,0.857142857,0.452380952,0.382312925,0.142857143,0.571428571,0.642857143,0.023809524,0.261904762,0.047619048,0,0.023809524,0.465968586,0.228621291,0.128708095,0.099056604,0.987250613,Andrew Jackson
Jackson,Andrew,2,15134,1830,0.466666667,0.22962963,0.201185185,0.533333333,0.533333333,0.511111111,0.044444444,0.177777778,0.177777778,0,0.088888889,0.473053892,0.230206254,0.153912534,0.082417582,0.987314901,Andrew Jackson
Jackson,Andrew,2,7225,1831,0.703703704,0.333333333,0.390946502,0.296296296,0.444444444,0.666666667,0,0.185185185,0.111111111,0,0.037037037,0.375,0.18995098,0.102076125,0.090301003,0.990782424,Andrew Jackson
