lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Attlee,Clement,200,7246,1946,12,0.126984127,0.730769231,0.322981366,0.055555556,0.428571429,0.633093525,0.128205128,Clement Attlee
Attlee,Clement,200,10712,1946,2,0.103658537,0.725067385,0.318309859,0.089622642,0.511013216,0.554166667,0.258160237,Clement Attlee
Attlee,Clement,200,9721,1946,3,0.124183007,0.685878963,0.404129794,0.151785714,0.448780488,0.545736434,0.262048193,Clement Attlee
Attlee,Clement,200,10139,1946,4,0.073446328,0.6875,0.390681004,0.122994652,0.431818182,0.540697674,0.241509434,Clement Attlee
Attlee,Clement,200,4052,1946,6,0.049382716,0.602836879,0.270676692,0.208333333,0.617021277,0.587837838,0.2421875,Clement Attlee
Attlee,Clement,200,4393,1947,1,0.1,0.662337662,0.300884956,0.076923077,0.315789474,0.575,0.2,Clement Attlee
Attlee,Clement,200,9316,1947,10,0.121794872,0.636065574,0.369426752,0.11299435,0.414285714,0.509863429,0.296052632,Clement Attlee
Attlee,Clement,200,8568,1947,11,0.071428571,0.616161616,0.374331551,0.12195122,0.471428571,0.598802395,0.268156425,Clement Attlee
Attlee,Clement,200,11893,1947,2,0.064748201,0.736842105,0.304147465,0.083333333,0.351851852,0.621099554,0.170731707,Clement Attlee
Attlee,Clement,200,15380,1947,3,0.080508475,0.706122449,0.29258517,0.119047619,0.434402332,0.527944112,0.247881356,Clement Attlee
Attlee,Clement,200,6187,1947,6,0.02247191,0.707964602,0.319587629,0.05,0.422680412,0.583554377,0.147368421,Clement Attlee
Attlee,Clement,200,14552,1947,7,0.075528701,0.631355932,0.3,0.12173913,0.483193277,0.568965517,0.210714286,Clement Attlee
Attlee,Clement,200,12529,1947,8,0.111111111,0.742424242,0.381546135,0.132596685,0.440217391,0.56443299,0.275949367,Clement Attlee
Attlee,Clement,200,4159,1948,1,0.137614679,0.621212121,0.366666667,0.202247191,0.338028169,0.561594203,0.298245614,Clement Attlee
Attlee,Clement,200,5340,1948,10,0.147727273,0.75,0.282442748,0.115942029,0.483870968,0.571005917,0.18699187,Clement Attlee
Attlee,Clement,200,7694,1948,2,0.123287671,0.704626335,0.336956522,0.083333333,0.392307692,0.611806798,0.193370166,Clement Attlee
Attlee,Clement,200,9292,1948,3,0.160583942,0.555248619,0.352380952,0.120879121,0.417085427,0.58692422,0.269480519,Clement Attlee
Attlee,Clement,200,4865,1948,6,0.104477612,0.836065574,0.428571429,0,0.394495413,0.550143266,0.157894737,Clement Attlee
Attlee,Clement,200,7570,1949,10,0.092783505,0.666666667,0.351351351,0.135135135,0.423076923,0.532399299,0.18957346,Clement Attlee
Attlee,Clement,200,4415,1949,2,0.122807018,0.780898876,0.30952381,0.111111111,0.511111111,0.595015576,0.160493827,Clement Attlee
Attlee,Clement,200,4961,1949,3,0.106666667,0.742857143,0.321637427,0.127906977,0.414634146,0.557457213,0.218181818,Clement Attlee
Attlee,Clement,200,6627,1949,4,0.085106383,0.732984293,0.360248447,0.114754098,0.535433071,0.579345088,0.219354839,Clement Attlee
Attlee,Clement,200,4196,1949,5,0.102040816,0.614814815,0.368794326,0.063492063,0.535353535,0.595959596,0.264705882,Clement Attlee
Attlee,Clement,200,5893,1949,7,0.186813187,0.780104712,0.272108844,0.098591549,0.35,0.484107579,0.174825175,Clement Attlee
Attlee,Clement,200,7934,1950,10,0.053846154,0.708502024,0.264705882,0.098039216,0.349206349,0.547826087,0.223880597,Clement Attlee
Attlee,Clement,200,4321,1950,11,0.081967213,0.655844156,0.330769231,0.128571429,0.447619048,0.566101695,0.248062016,Clement Attlee
Attlee,Clement,200,6489,1950,12,0.074534161,0.666666667,0.305699482,0.151724138,0.381294964,0.567493113,0.220430108,Clement Attlee
Attlee,Clement,200,12320,1950,3,0.134408602,0.637096774,0.32808399,0.12244898,0.565055762,0.520089286,0.211956522,Clement Attlee
Attlee,Clement,200,10759,1950,6,0.07755102,0.712082262,0.323624595,0.136752137,0.485596708,0.516304348,0.224137931,Clement Attlee
Attlee,Clement,200,15135,1950,7,0.121875,0.651908397,0.332335329,0.102564103,0.393728223,0.562691131,0.217665615,Clement Attlee
Attlee,Clement,200,9736,1950,9,0.179487179,0.627218935,0.342105263,0.081395349,0.420382166,0.594871795,0.25732899,Clement Attlee
Attlee,Clement,200,4682,1951,1,0.132352941,0.746031746,0.425373134,0.125,0.471910112,0.598006645,0.315789474,Clement Attlee
Attlee,Clement,200,11467,1951,2,0.099173554,0.721311475,0.28525641,0.082417582,0.512562814,0.562834225,0.206557377,Clement Attlee
Attlee,Clement,200,4026,1951,6,0.138888889,0.766666667,0.272727273,0.131578947,0.544303797,0.563758389,0.239583333,Clement Attlee
Attlee,Clement,200,5392,1951,7,0.078431373,0.76300578,0.327683616,0.057692308,0.526785714,0.598445596,0.255813953,Clement Attlee
Baldwin,Stanley,200,15984,1923,7,0.107279693,0.69771529,0.264033264,0.114427861,0.485933504,0.621129326,0.21888412,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,5454,1925,11,0.047058824,0.75,0.334975369,0.115384615,0.427135678,0.63060686,0.292307692,Stanley Baldwin
Baldwin,Stanley,200,17338,1925,12,0.085987261,0.717829457,0.34086629,0.120689655,0.409001957,0.615194055,0.219230769,Stanley Baldwin
Baldwin,Stanley,200,11793,1925,3,0.101010101,0.611398964,0.314136126,0.13986014,0.417142857,0.622401848,0.220994475,Stanley Baldwin
Baldwin,Stanley,200,10252,1925,6,0.067164179,0.640718563,0.334254144,0.068376068,0.436137072,0.629826897,0.240687679,Stanley Baldwin
Baldwin,Stanley,200,4143,1925,7,0.059701493,0.709459459,0.257309942,0.05,0.481675393,0.615131579,0.242424242,Stanley Baldwin
