lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeW,2,9542,2003,5,0.674796748,0.303523035,0.298195519,0.325203252,0.487804878,0.609756098,0.056910569,0.170731707,0.073170732,0.016260163,0.073170732,0.421538462,0.168205128,0.146633846,0.274553571,0.959741154,GeorgeW Bush
Bush,GeorgeW,2,6412,2003,6,0.725,0.3625,0.2485,0.275,0.65,0.55,0.075,0.2375,0.0375,0.0125,0.0875,0.560784314,0.292810458,0.15777624,0.23880597,0.962322092,GeorgeW Bush
Bush,GeorgeW,2,18804,2003,7,0.457286432,0.149078727,0.195838489,0.542713568,0.613065327,0.522613065,0.055276382,0.150753769,0.060301508,0.055276382,0.155778894,0.401526718,0.157760814,0.135384651,0.233021077,0.968452523,GeorgeW Bush
Bush,GeorgeW,2,4597,2003,9,0.724137931,0.32183908,0.319381688,0.275862069,0.551724138,0.620689655,0.051724138,0.189655172,0.034482759,0.017241379,0.086206897,0.302083333,0.097222222,0.097200521,0.232,0.977449479,GeorgeW Bush
Bush,GeorgeW,2,66379,2004,1,0.643356643,0.263791764,0.34418635,0.356643357,0.442890443,0.646853147,0.03030303,0.144522145,0.083916084,0.017482517,0.076923077,0.531057639,0.257787726,0.172525568,0.324385633,0.944035184,GeorgeW Bush
Bush,GeorgeW,2,17256,2004,11,0.692307692,0.355029586,0.290024859,0.307692308,0.49704142,0.591715976,0.047337278,0.207100592,0.106508876,0.00591716,0.041420118,0.510054845,0.244363193,0.178682459,0.23603352,0.95782495,GeorgeW Bush
Bush,GeorgeW,2,7287,2004,12,0.818181818,0.424242424,0.326721763,0.181818182,0.606060606,0.606060606,0.045454545,0.257575758,0.03030303,0.015151515,0.045454545,0.466666667,0.234722222,0.118875,0.215686275,0.974360294,GeorgeW Bush
Bush,GeorgeW,2,57337,2004,2,0.522988506,0.190613027,0.260607412,0.477011494,0.497126437,0.583333333,0.048850575,0.129310345,0.099137931,0.020114943,0.119252874,0.32991672,0.140294683,0.107255365,0.308373948,0.96692524,GeorgeW Bush
Bush,GeorgeW,2,94150,2004,3,0.412052117,0.115635179,0.219815064,0.587947883,0.586319218,0.540716612,0.040716612,0.124592834,0.107491857,0.017915309,0.168566775,0.382928739,0.191855912,0.119780295,0.324695928,0.961107826,GeorgeW Bush
Bush,GeorgeW,2,103987,2004,4,0.549872123,0.212560386,0.262110182,0.450127877,0.499573743,0.584825234,0.049445865,0.140664962,0.091219096,0.024722933,0.10912191,0.425365522,0.200838717,0.133184245,0.285123967,0.96202598,GeorgeW Bush
