lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Attlee,Clement,200,21145,1948,1,0.571428571,0.291666667,0.220535714,0.428571429,0.5,0.535714286,0.0625,0.1875,0.142857143,0.008928571,0.0625,0.394540943,0.186931348,0.147323116,0.217475728,0.967960798,Clement Attlee
Attlee,Clement,200,9537,1948,2,0.807692308,0.326923077,0.508284024,0.192307692,0.423076923,0.75,0,0.153846154,0.019230769,0.019230769,0.057692308,0.443786982,0.203155819,0.172045797,0.235294118,0.959518636,Clement Attlee
Attlee,Clement,200,9530,1948,4,0.551020408,0.231292517,0.251311953,0.448979592,0.489795918,0.571428571,0.06122449,0.142857143,0.12244898,0,0.102040816,0.533333333,0.246296296,0.17562963,0.213973799,0.962419861,Clement Attlee
Attlee,Clement,200,11382,1949,1,0.517241379,0.304597701,0.174554102,0.482758621,0.620689655,0.465517241,0.051724138,0.24137931,0.172413793,0,0.068965517,0.407035176,0.197654941,0.152142623,0.225680934,0.965664311,Clement Attlee
Attlee,Clement,200,12636,1949,2,0.531914894,0.219858156,0.256858307,0.468085106,0.723404255,0.553191489,0,0.212765957,0.085106383,0,0.14893617,0.194915254,0.049435028,0.108402758,0.166077739,0.981996715,Clement Attlee
Attlee,Clement,200,5893,1949,3,0.428571429,0.142857143,0.167346939,0.571428571,0.5,0.5,0.107142857,0.107142857,0.107142857,0.035714286,0.142857143,0.106796117,-0.110032362,0.196682062,0.213740458,0.957961086,Clement Attlee
Attlee,Clement,200,9747,1949,4,0.434782609,0.202898551,0.159546314,0.565217391,0.608695652,0.47826087,0.043478261,0.195652174,0.130434783,0.043478261,0.108695652,0.434554974,0.237347295,0.104958746,0.194092827,0.97962826,Clement Attlee
Attlee,Clement,200,12320,1950,1,0.526315789,0.219298246,0.297783934,0.473684211,0.447368421,0.605263158,0.013157895,0.144736842,0.144736842,0.013157895,0.078947368,0.433628319,0.228613569,0.132069857,0.251655629,0.966763877,Clement Attlee
Attlee,Clement,200,13995,1950,2,0.75,0.297619048,0.532397959,0.25,0.285714286,0.767857143,0,0.107142857,0.089285714,0,0.035714286,0.449477352,0.204413473,0.181216234,0.163265306,0.970413676,Clement Attlee
Attlee,Clement,200,24871,1950,3,0.630769231,0.287179487,0.281704142,0.369230769,0.523076923,0.592307692,0.046153846,0.176923077,0.1,0,0.084615385,0.413276231,0.185581727,0.131070343,0.217755444,0.971458719,Clement Attlee
Attlee,Clement,200,18744,1950,4,0.616,0.277333333,0.313408,0.384,0.48,0.616,0.024,0.168,0.12,0,0.072,0.449101796,0.23752495,0.136971566,0.272331155,0.962698375,Clement Attlee
Attlee,Clement,200,17151,1951,1,0.623931624,0.256410256,0.322726277,0.376068376,0.41025641,0.632478632,0.051282051,0.128205128,0.102564103,0.008547009,0.076923077,0.430267062,0.203758655,0.113638405,0.257709251,0.970714332,Clement Attlee
Attlee,Clement,200,6113,1951,2,0.65,0.3,0.2545,0.35,0.45,0.575,0.1,0.15,0.1,0,0.075,0.308411215,0.115264798,0.124814394,0.272108844,0.9660369,Clement Attlee
Attlee,Clement,200,5672,1951,3,0.8125,0.354166667,0.51015625,0.1875,0.375,0.75,0,0.15625,0.0625,0,0.03125,0.260869565,0.123188406,0.104253308,0.258064516,0.97309592,Clement Attlee
Baldwin,Stanley,200,18406,1923,3,0.54,0.24,0.26968,0.46,0.62,0.57,0,0.2,0.12,0,0.11,0.421828909,0.200589971,0.130373039,0.227790433,0.970302269,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.547169811,0.251572327,0.281452474,0.452830189,0.528301887,0.58490566,0,0.188679245,0.132075472,0.018867925,0.075471698,0.527559055,0.249343832,0.205555211,0.294444444,0.93947541,Stanley Baldwin
