lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Gladstone,William,200,28491,1839,0.401273885,0.142250531,0.241413445,0.598726115,0.47133758,0.560509554,0.006369427,0.133757962,0.152866242,0.044585987,0.101910828,0.235099338,0.08388521,0.115637472,0.20630749,0.976143123,William Gladstone
Gladstone,William,200,7700,1840,0.04,-0.04,0.12832,0.96,0.48,0.4,0.04,0.08,0.28,0.04,0.16,0.526011561,0.258188825,0.180540613,0.126262626,0.977204468,William Gladstone
Gladstone,William,200,4903,1841,0.454545455,0.242424242,0.132231405,0.545454545,0.454545455,0.454545455,0.090909091,0.181818182,0.136363636,0.090909091,0.045454545,0.319587629,0.151202749,0.12993942,0.18487395,0.975977586,William Gladstone
Gladstone,William,200,108355,1893,0.52193646,0.228441755,0.244176407,0.47806354,0.532526475,0.561270802,0.027231467,0.172465961,0.124054463,0.02118003,0.093797277,0.383833249,0.173868836,0.131522071,0.25152207,0.966919296,William Gladstone
Heath,Edward,200,41744,1970,0.546925566,0.266450917,0.221616866,0.453074434,0.556634304,0.537216828,0.035598706,0.200647249,0.1197411,0.029126214,0.077669903,0.430363864,0.21873693,0.127121939,0.279385172,0.964484015,Edward Heath
Heath,Edward,200,117328,1971,0.565552699,0.270779777,0.226495992,0.434447301,0.616966581,0.537275064,0.035989717,0.209511568,0.107969152,0.010282776,0.098971722,0.457611668,0.235034944,0.14068168,0.261776581,0.963172831,Edward Heath
Heath,Edward,200,138402,1972,0.638273046,0.302994944,0.304572543,0.361726954,0.464410735,0.609101517,0.031505251,0.178529755,0.116686114,0.01050175,0.053675613,0.459918478,0.239243659,0.148165669,0.225466982,0.966593534,Edward Heath
Heath,Edward,200,140198,1973,0.692946058,0.347856155,0.290342797,0.307053942,0.564315353,0.589211618,0.03526971,0.221991701,0.085062241,0.008298755,0.060165975,0.482336481,0.24437449,0.161646126,0.252157991,0.959239638,Edward Heath
Heath,Edward,200,25871,1974,0.812206573,0.356807512,0.447358328,0.187793427,0.403755869,0.713615023,0.03286385,0.159624413,0.042253521,0.009389671,0.042253521,0.551088777,0.243997767,0.211319579,0.262962963,0.944430777,Edward Heath
Law,Bonar,200,30032,1922,0.523809524,0.223665224,0.252937539,0.476190476,0.493506494,0.571428571,0.034632035,0.155844156,0.12987013,0.017316017,0.090909091,0.507142857,0.2375,0.180028061,0.292035398,0.947425433,Bonar Law
Law,Bonar,200,7116,1923,0.906976744,0.527131783,0.353596539,0.093023256,0.744186047,0.581395349,0.023255814,0.348837209,0.023255814,0,0.023255814,0.508474576,0.271186441,0.141108877,0.267080745,0.962312536,Bonar Law
MacDonald,Ramsay,200,4681,1831,0.777777778,0.314814815,0.548148148,0.222222222,0.111111111,0.777777778,0.055555556,0.055555556,0.111111111,0,0,0.245614035,0.093567251,0.127239151,0.136363636,0.982649207,Ramsay MacDonald
MacDonald,Ramsay,200,101975,1924,0.577380952,0.227678571,0.295684524,0.422619048,0.494047619,0.610119048,0.02827381,0.150297619,0.084821429,0.029761905,0.09672619,0.39444995,0.17855963,0.13575521,0.249814126,0.966086431,Ramsay MacDonald
MacDonald,Ramsay,200,20801,1929,0.515625,0.197916667,0.26171875,0.484375,0.453125,0.5859375,0.0390625,0.1328125,0.109375,0.0390625,0.09375,0.404145078,0.220207254,0.139568847,0.249027237,0.965243555,Ramsay MacDonald
MacDonald,Ramsay,200,75722,1930,0.618604651,0.31627907,0.220707409,0.381395349,0.586046512,0.53255814,0.058139535,0.218604651,0.1,0.01627907,0.074418605,0.475247525,0.247996228,0.138265756,0.23318872,0.967757985,Ramsay MacDonald
MacDonald,Ramsay,200,99948,1931,0.604651163,0.255260244,0.276988113,0.395348837,0.485049834,0.596345515,0.048172757,0.157807309,0.079734219,0.033222591,0.084717608,0.432072456,0.216835376,0.133661016,0.242839855,0.967541778,Ramsay MacDonald
MacDonald,Ramsay,200,34123,1932,0.540669856,0.266347687,0.228863808,0.459330144,0.4784689,0.545454545,0.04784689,0.177033493,0.148325359,0.019138756,0.062200957,0.375394322,0.186645636,0.109078606,0.247924081,0.972956787,Ramsay MacDonald
MacDonald,Ramsay,200,42454,1933,0.661016949,0.271186441,0.38060902,0.338983051,0.381355932,0.673728814,0.021186441,0.13559322,0.084745763,0.029661017,0.055084746,0.422835634,0.207444584,0.133862398,0.228460794,0.96941769,Ramsay MacDonald
MacDonald,Ramsay,200,40270,1934,0.705583756,0.351945854,0.27540519,0.294416244,0.517766497,0.583756345,0.065989848,0.203045685,0.081218274,0.010152284,0.055837563,0.519781719,0.262846749,0.169260491,0.211827957,0.964145896,Ramsay MacDonald
