lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Castro,Fidel,40,23577,1979,3,0.369230769,0.117948718,0.224473373,0.630769231,0.446153846,0.546153846,0.030769231,0.107692308,0.169230769,0.030769231,0.115384615,0.196581197,0.08974359,0.079124358,0.15625,0.987636819,Fidel Castro
Castro,Fidel,40,22782,1979,4,0.297297297,0.108108108,0.134940346,0.702702703,0.522522523,0.459459459,0.045045045,0.144144144,0.162162162,0.072072072,0.117117117,0.267153285,0.103649635,0.093199211,0.139447236,0.987003628,Fidel Castro
Castro,Fidel,40,13437,1980,1,0.227722772,0.069306931,0.111616508,0.772277228,0.435643564,0.435643564,0.059405941,0.118811881,0.168316832,0.118811881,0.099009901,0.287878788,0.16540404,0.06642562,0.276712329,0.981619212,Fidel Castro
Castro,Fidel,40,18233,1980,2,0.327102804,0.168224299,0.146615425,0.672897196,0.46728972,0.457943925,0.028037383,0.177570093,0.186915888,0.093457944,0.056074766,0.142857143,0.02425876,0.09111384,0.223849372,0.979604224,Fidel Castro
Castro,Fidel,40,35562,1980,3,0.553299492,0.257191201,0.191362828,0.446700508,0.609137056,0.512690355,0.065989848,0.197969543,0.086294416,0.030456853,0.106598985,0.373368146,0.210617929,0.085035688,0.204569055,0.98260433,Fidel Castro
Castro,Fidel,40,69942,1980,4,0.49321267,0.253393665,0.141295223,0.50678733,0.588235294,0.457013575,0.095022624,0.194570136,0.135746606,0.018099548,0.099547511,0.372619048,0.225595238,0.104969388,0.116254603,0.987796826,Fidel Castro
Castro,Fidel,40,25526,1981,1,0.101265823,-0.025316456,0.087742349,0.898734177,0.746835443,0.360759494,0.050632911,0.139240506,0.17721519,0.037974684,0.234177215,0.108552632,0.048245614,0.07367339,0.206266319,0.984803661,Fidel Castro
Castro,Fidel,40,29818,1981,2,0.121621622,0.042792793,0.073593864,0.878378378,0.675675676,0.344594595,0.040540541,0.175675676,0.216216216,0.060810811,0.162162162,0.088676671,-0.00636653,0.090080757,0.167990919,0.984867251,Fidel Castro
Castro,Fidel,40,39573,1981,3,0.363636364,0.12987013,0.143160735,0.636363636,0.675324675,0.461038961,0.045454545,0.175324675,0.11038961,0.045454545,0.162337662,0.200442968,0.097452935,0.081873269,0.145695364,0.988071444,Fidel Castro
Castro,Fidel,40,15763,1981,4,0.308641975,0.209876543,0.099771376,0.691358025,0.617283951,0.37037037,0.037037037,0.24691358,0.197530864,0.086419753,0.061728395,-0.038461538,-0.081730769,0.083080621,0.162977867,0.986459698,Fidel Castro
Castro,Fidel,40,20559,1982,1,0.292307692,0.076923077,0.160994083,0.707692308,0.461538462,0.492307692,0.046153846,0.107692308,0.153846154,0.076923077,0.123076923,0.238738739,0.107357357,0.095178963,0.127701375,0.987845516,Fidel Castro
Castro,Fidel,40,43571,1982,2,0.365853659,0.14498645,0.174221693,0.634146341,0.512195122,0.5,0.028455285,0.154471545,0.150406504,0.06504065,0.101626016,0.393548387,0.205017921,0.124972598,0.209183673,0.973857773,Fidel Castro
Castro,Fidel,40,9595,1982,3,0.513513514,0.216216216,0.242658875,0.486486486,0.432432432,0.567567568,0.054054054,0.135135135,0.135135135,0.027027027,0.081081081,0.693069307,0.397689769,0.18913832,0.154811715,0.970719172,Fidel Castro
Castro,Fidel,40,31303,1982,4,0.54248366,0.283224401,0.180725362,0.45751634,0.575163399,0.496732026,0.058823529,0.215686275,0.117647059,0.039215686,0.071895425,0.40203193,0.23222061,0.096104027,0.181710214,0.982536917,Fidel Castro
Castro,Fidel,40,10735,1983,1,0.388888889,0.203703704,0.168518519,0.611111111,0.555555556,0.472222222,0.027777778,0.194444444,0.194444444,0.027777778,0.083333333,0.060869565,-0.048309179,0.083695022,0.094488189,0.992091809,Fidel Castro
Castro,Fidel,40,8919,1983,2,0.611111111,0.361111111,0.212962963,0.388888889,0.611111111,0.5,0.027777778,0.277777778,0.111111111,0.055555556,0.027777778,0.230046948,0.122065728,0.107848972,0.144578313,0.984407378,Fidel Castro
Castro,Fidel,40,24414,1983,3,0.492537313,0.251243781,0.133080864,0.507462687,0.791044776,0.425373134,0.067164179,0.253731343,0.082089552,0.029850746,0.141791045,0.385542169,0.204149933,0.116756181,0.212025316,0.975244734,Fidel Castro
